Time,LABORATORIO_ZONE::Des Heat Load [W],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LABORATORIO_ZONE::Des Heat Mass Flow [kg/s],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Heat Load [W],LABORATORIO_ZONE::Des Latent Cool Load [W],LABORATORIO_ZONE::Des Latent Heat Mass Flow [kg/s],LABORATORIO_ZONE::Des Latent Cool Mass Flow [kg/s],LABORATORIO_ZONE::Des Heat Load No DOAS [W],LABORATORIO_ZONE::Des Sens Cool Load No DOAS [W],LABORATORIO_ZONE::Des Latent Heat Load No DOAS [W],LABORATORIO_ZONE::Des Latent Cool Load No DOAS [W],LABORATORIO_ZONE::Heating Zone Temperature [C],LABORATORIO_ZONE::Heating Zone Relative Humidity [%],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LABORATORIO_ZONE:FORTALEZA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
08:20:00,0.000000E+00,1.890143E+03,0.000000E+00,1.684298E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398492E+01,7.593962E+01
08:30:00,0.000000E+00,1.937531E+03,0.000000E+00,1.726542E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398483E+01,7.543921E+01
08:40:00,0.000000E+00,1.988438E+03,0.000000E+00,1.771922E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398475E+01,7.491694E+01
08:50:00,0.000000E+00,2.042645E+03,0.000000E+00,1.820242E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398467E+01,7.437963E+01
09:00:00,0.000000E+00,2.099559E+03,0.000000E+00,1.870974E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398461E+01,7.383275E+01
09:10:00,0.000000E+00,2.158688E+03,0.000000E+00,1.923679E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398456E+01,7.328114E+01
09:20:00,0.000000E+00,2.219874E+03,0.000000E+00,1.978216E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398452E+01,7.273229E+01
09:30:00,0.000000E+00,2.282856E+03,0.000000E+00,2.034352E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398449E+01,7.219097E+01
09:40:00,0.000000E+00,2.347348E+03,0.000000E+00,2.091833E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398447E+01,7.165973E+01
09:50:00,0.000000E+00,2.413052E+03,0.000000E+00,2.150392E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.398445E+01,7.114032E+01
